微服务模块                                  ,开发 ,RPC类名                                                         ,RPC方法名                                                     ,功能                                                                         ,,
"变更还款计划
modify-repayment-plan-consumer",楼关杨,RepaymentPlanHandlerImpl                                      ,modify_repaymentPlan                                       ,变更还款计划[页面|api]                                                             ,,
                                       ,   ,RepaymentPlanHandlerImplV2_0                                  ,modifyRepaymentPlan                                        ,变更还款计划v2[页面|api]                                                           ,,
"提前还款
prepayment-consumer"             ,王威 ,PrepaymentHandlerImpl                                         ,apiPrepayment                                              ,提前还款[api]                                                                  ,,
                                       ,   ,PrepaymentHandlerImpl                                         ,new_prepayment                                             ,提前还款申请[页面|api]                                                             ,,
                                       ,   ,PrepaymentProxyHandlerImpl                                    ,processing_one_prepayment_plan                             ,系统扣款task提前还款[task]                                                         ,,
"浮动费用
mutable-fee-consumer "           ,张龙飞,RepaymentPlanHandlerImplV2_0                                  ,mutableFeeMq                                               ,费用浮动接口[页面|api]                                                             ,,
"还款订单
payment-order-consumer"          ,吴峻申,PaymentOrderActualHandlerImpl                                 ,deductNotifyHandle                                         ,还款订单扣款回调[api]                                                              ,,
                                       ,   ,PaymentOrderActualHandlerImpl                                 ,generatePaymentOrder                                       ,支付订单新增页-提交[页面]                                                             ,,
                                       ,   ,RepaymentOrderActualHandlerImpl                               ,cancelRepaymentOrderForSingleContract                      ,取消还款订单[页面|api]                                                             ,,
                                       ,   ,RepaymentOrderForSingleContractHandlerProxyImpl               ,cancelRepaymentOrderForSingleContract                      ,proxy到RepaymentOrderActualHandlerImpl#cancelRepaymentOrderForSingleContract,,
                                       ,   ,RepaymentOrderItemHandlerProxyImpl                            ,lapse_and_create_new_item                                  ,作废并创建新的明细[页面]                                                              ,,
银企直连流水充值（充值）                           ,朱师云,CashFlowAutoIssueHandlerImpl                                  ,cashFlowAutoChargeForRepaymentOrder                        ,还款订单线下支付后触发流水充值[binlog]                                                    ,,
                                       ,   ,CashFlowChargeProxyImpl                                       ,charge_cash_into_virtual_account_for_rpc                   ,提交主动还款凭证[页面]                                                               ,,
                                       ,   ,                                                              ,                                                           ,                                                                           ,,
"变更逾期费用
(3.7上线后开始)"                    ,   ,ModifyOverDueFeeHandlerActualHandlerImpl                      ,modifyOverduChargesAndLogging                              ,变更逾期费用[界面]                                                                 ,,
余额支付单退款（功能已关闭）                         ,   ,JournalVoucherRefundHandlerProxy                              ,refund_operate                                             ,                                                                           ,,
银企直连流水充值（充值撤销）                         ,   ,CashFlowAutoIssueHandlerImpl                                  ,deposit_cancel                                             ,                                                                           ,,
代收-机构对账（本端多帐核单）                        ,   ,BeneficiaryAuditHandlerImpl                                   ,lapse_recovered_deduct_application_handler                 ,本端多账——核单[页面]                                                               ,,
专户账户管理（计提）                             ,   ,SpecialAccountProxyImpl                                       ,transfer_revenue_to_accrual_account                        ,专户账户转账[页面]                                                                 ,,
余额支付单自动支付（功能已关闭）                       ,   ,CashFlowAutoIssueHandlerImpl                                  ,auto_recover_assets_by_contract_uuid                       ,余额自动核销[页面]                                                                 ,,
余额账户（关闭状态的变更）                          ,   ,VirtualAccountHandlerImpl                                     ,close_virtual_account_of_borrower_customer                 ,账户状态变更[task]                                                               ,,
                                       ,   ,InstitutionReconciliationTimeOutHandlerProxy                  ,updateThirdPartPayVoucherTimeOut                           ,发送超时数据到机构对账队列处理                                                            ,,
主动付款凭证核销                               ,   ,ActivePaymentVoucherProxyImpl                                 ,recover_active_payment_voucher                             ,主动付款凭证核销[api]                                                              ,,
